STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,AWND,WDF2,WESF,WESD
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-01,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-3.346336479104011,-1.4662215933145533,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-02,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-2.6166785192939575,-3.2262441559112416,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-03,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-3.2004048871420006,-3.2262441559112416,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-04,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-3.346336479104011,-2.9062400536209347,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-05,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-2.908541703217979,-4.026254411637009,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-06,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-3.930062846952054,-3.8662523604918557,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-07,1.2510163121588072,-0.06785013555751303,-0.07761040369446111,-4.075994438914065,-3.386246207056395,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-08,-0.03635392423494379,-0.06785013555751303,-0.07761040369446111,-4.075994438914065,-2.2662318490403206,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-09,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-2.908541703217979,-3.066242104766088,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-10,5.995214035165407,-0.06785013555751303,-0.07761040369446111,-1.3032941916358607,-2.7462380024757813,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-11,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-2.1788837434079253,-1.3062195421693998,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-12,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-2.6166785192939575,-2.426233900185474,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-13,1.847021051229988,-0.06785013555751303,-0.07761040369446111,-1.15736259967385,-2.5862359513306274,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-14,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-0.7195678237878176,-2.7462380024757813,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-15,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-3.2004048871420006,-4.026254411637009,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-16,-0.20323525117487445,-0.06785013555751303,-0.07761040369446111,-5.389378766572162,-4.026254411637009,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-17,0.08284702357929237,-0.06785013555751303,-0.07761040369446111,-5.09751558264814,-4.98626671850793,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-18,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-5.973105134420205,-5.1462687696530836,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-19,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-4.659720806762108,-4.3462585139273155,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-20,-0.2985960094262634,-0.06785013555751303,-0.07761040369446111,-5.243447174610151,-4.98626671850793,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-21,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-5.973105134420205,-4.98626671850793,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
USC00288884,"TETERBORO AIRPORT, NJ US",2024-01-22,-0.37011657811480514,-0.06785013555751303,-0.07761040369446111,-5.09751558264814,-5.1462687696530836,-0.0372659285179391,0.026270169534736054,-0.044178849108045974,-0.03737353322235058
